"SUID","AverageShortestPathLength","BetweennessCentrality","biogrid.ALIASES","biogrid.BIOGRID_ID","biogrid.ENTREZ_GENE","biogrid.OFFICIAL_SYMBOL","biogrid.ORGANISM_ID","biogrid.SYSTEMATIC_NAME","canonicalName","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ID","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"153","3.94935691","2.7355E-4","BND7|EPB7|EPB72","108354","2040","STOM","9606","RP11-342H3.1","STOM","0.25320578","0.0","2","6","2040","false","STOM","68.0","2","0","0","0.67229368","false","0","STOM","40460","0.51145038"
"154","3.97990354","0.0","FRAP|FRAP1|FRAP2|RAFT1|RAPT1","108757","2475","MTOR","9606",,"MTOR","0.25126237","0.0","1","6","2475","false","MTOR","152.0","1","0","0","0.66889961","false","0","MTOR","0","0.0"
"155","4.11173633","0.0","ARVC2|ARVD2|RYR-2|RyR|VTSIP","112174","6262","RYR2","9606","RP4-626J7.1","RYR2","0.24320626","0.0","1","7","6262","false","RYR2","85.0","1","0","0","0.65425152","false","0","RYR2","0","0.0"
"156","4.28898714","0.0","PTP9Q22","126515","138639","PTPDC1","9606","RP11-490F3.2","PTPDC1","0.23315528","0.0","1","8","138639","false","PTPDC1","49.0","1","0","0","0.63455698","false","0","PTPDC1","0","0.0"
"157","3.81310289","0.0","REIC|RIG","118013","27122","DKK3","9606","UNQ258/PRO295","DKK3","0.26225361","0.0","1","6","27122","false","DKK3","277.0","1","0","0","0.68743301","false","0","DKK3","0","0.0"
"158","4.02733119","0.0","CSP2|DSCR1L1|MCIP2|RCN2|ZAKI-4|ZAKI4","115525","10231","RCAN2","9606","RP11-38F19.1","RCAN2","0.24830339","0.0","1","6","10231","false","RCAN2","120.0","1","0","0","0.66362987","false","0","RCAN2","0","0.0"
"159","4.77250804","0.0","ARK","120146","54778","RNF111","9606",,"RNF111","0.20953343","0.0","1","8","54778","false","RNF111","20.0","1","0","0","0.58083244","false","0","RNF111","0","0.0"
"160","4.27853698","0.0","","122749","79616","CCNJL","9606",,"CCNJL","0.23372475","0.0","1","6","79616","false","CCNJL","65.0","1","0","0","0.63571811","false","0","CCNJL","0","0.0"
"161","3.95699357","0.0","MORG1","124019","84292","WDR83","9606",,"WDR83","0.25271712","0.0","1","7","84292","false","WDR83","173.0","1","0","0","0.67144516","false","0","WDR83","0","0.0"
"162","4.49557878","0.0","","131480","347730","LRRTM1","9606","UNQ675/PRO1309","LRRTM1","0.22244077","0.0","1","8","347730","false","LRRTM1","25.0","1","0","0","0.61160236","false","0","LRRTM1","0","0.0"
"163","3.95699357","0.0","","113111","7260","TSSC1","9606",,"TSSC1","0.25271712","0.0","1","7","7260","false","TSSC1","173.0","1","0","0","0.67144516","false","0","TSSC1","0","0.0"
"164","3.95699357","0.0","SEC31B-1|SEC31L2","117447","25956","SEC31B","9606",,"SEC31B","0.25271712","0.0","1","7","25956","false","SEC31B","173.0","1","0","0","0.67144516","false","0","SEC31B","0","0.0"
"165","4.95659164","0.0","C15orf3|CRI1|EID-1|IRO45620|PTD014|RBP21","117243","23741","EID1","9606","PNAS-22","EID1","0.20175154","0.0","1","8","23741","false","EID1","24.0","1","0","0","0.56037871","false","0","EID1","0","0.0"
"166","4.77250804","0.0","FROUNT|Nup75","122985","79902","NUP85","9606",,"NUP85","0.20953343","0.0","1","8","79902","false","NUP85","20.0","1","0","0","0.58083244","false","0","NUP85","0","0.0"
"167","5.08882637","0.0","C22orf5|FM08|HS5O6A","117357","25829","TMEM184B","9606","CTA-447C4.2","TMEM184B","0.19650896","0.0","1","8","25829","false","TMEM184B","21.0","1","0","0","0.54568596","false","0","TMEM184B","0","0.0"
"168","3.93609325","0.0","ASB-3","119317","51130","ASB3","9606",,"ASB3","0.25405902","0.0","1","6","51130","false","ASB3","69.0","1","0","0","0.67376742","false","0","ASB3","0","0.0"
"169","4.19533762","0.0","IBRDC3|NKLAM","126065","127544","RNF19B","9606",,"RNF19B","0.23835984","0.0","1","6","127544","false","RNF19B","81.0","1","0","0","0.64496249","false","0","RNF19B","0","0.0"
"170","3.97990354","0.0","HEL107|TK|TKT1","112941","7086","TKT","9606",,"TKT","0.25126237","0.0","1","6","7086","false","TKT","152.0","1","0","0","0.66889961","false","0","TKT","0","0.0"
